Ind,Target,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
3035,0,25.0,23,7,0.235,0,0,1,0.147,17,-5.506,28,30,30,17,0.25508556149732625,0,0,0.857,0.41200000000000003,66
3036,1,20.0,23,0,9.495,1,0,2,0.25,19,-4.063,30,30,13,16,0.633,0,0,0.8,1.0235964376053963,1347
3037,1,12.0,14,3,4.593,0,0,3,0.638,3,-1.072,30,16,3,8,0.723,0,0,0.8,0.375,427
3038,0,40.0,23,15,-3.135,1,0,1,0.21899999999999997,15,1.7730000000000001,30,29,12,10,0.341,1,0,0.8,1.5,376
3039,0,12.0,23,22,-1.757,1,0,1,0.24100000000000002,2,-18.567999999999998,30,30,17,25,0.405,0,0,0.8,0.76,537
3040,0,10.0,23,24,-38.54,1,0,1,0.244,17,-38.688,29,29,11,30,0.382,0,0,0.759,0.8,0
3041,0,4.1,16,24,-2.95,1,0,1,0.14,17,-2.614,30,24,5,26,0.20199999999999999,0,0,0.8,0.9229999999999999,329
3042,0,0.0,20,0,3.008,0,0,0,0.261,24,4.529,30,27,3,0,0.396,0,0,0.8,0.0,848
3043,0,0.0,23,24,-12.436,0,0,0,0.273,24,4.417,30,30,9,16,0.7020000000000001,0,0,0.8,1.5,153
3044,1,11.57,17,22,-1.635,0,0,1,0.6559999999999999,7,-7.746,23,18,7,28,0.715,0,0,0.826,0.7859999999999999,7
3045,1,15.0,13,23,4.06,1,0,1,0.57,1,-6.815,25,19,15,21,0.6779999999999999,0,0,0.6,1.095,1
3046,0,10.0,20,0,13.193,0,0,1,0.204,11,5.888,30,30,7,0,0.34700000000000003,0,0,0.8,0.0,506
3047,1,30.0,23,21,-4.822,0,0,1,0.369,13,-16.945,28,30,28,28,0.633547557840617,1,0,0.5,0.75,13
3048,0,20.0,12,0,34.063,0,0,1,0.048,6,13.214,30,30,10,0,0.102,0,0,0.8,0.0,2031
3049,1,15.0,21,24,2.765,0,0,1,0.365,4,-15.436,23,29,14,29,0.613,0,0,1.043,0.69,33
3050,1,8.0,14,2,6.455,0,0,1,0.392,4,3.1510000000000002,30,13,8,0,0.653,0,0,0.8,2.0,331
3051,1,0.0,17,28,-22.226,0,0,0,0.61,24,-5.46,30,29,12,15,0.685,0,21,0.633,1.6,0
3052,0,30.0,23,16,-8.37,0,0,1,0.049,19,-16.904,30,28,20,25,0.09300000000000001,1,0,0.7,0.64,19
